Height;Weight;IMC;Classification
184;71;21;medium
170;82;29;high
176;50;16;low
163;83;31;high
159;67;27;high
168;72;26;high
165;52;19;low
174;81;27;high
161;66;25;high
194;63;17;low
188;83;23;medium
163;63;24;medium
164;63;23;medium
183;55;16;low
194;52;14;low
177;73;23;medium
183;58;17;low
190;65;18;low
182;64;20;low
176;75;24;medium
170;71;25;medium
181;79;24;medium
182;60;18;low
189;63;18;low
183;71;21;medium
192;60;16;low
168;64;23;medium
162;76;29;high
192;74;20;medium
167;64;23;medium
176;58;19;low
167;59;21;medium
193;80;21;medium
178;70;22;medium
155;66;28;high
175;68;22;medium
171;69;24;medium
157;71;29;high
179;82;26;high
177;73;23;medium
160;82;32;high
167;67;24;medium
187;55;16;low
156;53;22;medium
178;76;24;medium
174;58;19;low
187;54;15;low
157;67;27;high
183;59;18;low
175;57;19;low
185;78;23;medium
162;58;22;medium
171;54;18;low
173;56;19;low
172;54;18;low
186;69;20;medium
158;53;21;medium
186;63;18;low
188;74;21;medium
173;73;25;medium
178;85;27;high
161;70;27;high
165;77;28;high
178;59;19;low
177;55;18;low
174;65;21;medium
157;68;28;high
165;69;25;high
174;64;21;medium
156;58;24;medium
168;65;23;medium
157;58;23;medium
194;67;18;low
173;70;23;medium
171;50;17;low
193;82;22;medium
169;74;26;high
163;73;28;high
165;78;29;high
194;56;15;low
182;77;23;medium
164;74;28;high
193;76;20;medium
184;55;16;low
195;50;13;low
181;72;22;medium
184;66;19;low
173;57;19;low
165;81;30;high
187;57;16;low
167;61;22;medium
176;52;17;low
158;76;31;high
161;84;32;high
193;71;19;low
191;67;18;low
177;77;25;medium
172;53;18;low
183;68;20;medium
172;51;17;low
186;73;21;medium
171;54;18;low
158;64;26;high
177;58;18;low
156;74;30;high
171;62;21;medium
178;77;24;medium
186;85;25;medium
178;51;16;low
175;67;22;medium
168;54;19;low
169;52;18;low
183;85;25;high
170;79;27;high
158;82;33;high
187;58;17;low
178;52;16;low
163;76;29;high
173;56;19;low
169;58;20;medium
161;74;29;high
185;78;23;medium
158;53;21;medium
182;67;20;medium
189;68;19;low
165;83;30;high
167;58;21;medium
175;56;18;low
171;67;23;medium
194;62;17;low
185;83;24;medium
176;70;22;medium
192;76;21;medium
170;84;29;high
161;72;28;high
174;60;20;medium
190;65;18;low
174;68;22;medium
178;75;24;medium
191;72;20;low
178;77;24;medium
169;60;21;medium
166;52;19;low
172;83;28;high
189;70;19;low
192;50;14;low
184;71;21;medium
193;70;19;low
172;53;18;low
191;59;16;low
170;75;26;high
171;78;27;high
172;66;22;medium
156;63;26;high
170;72;25;high
188;76;22;medium
169;54;19;low
176;51;16;low
186;54;16;low
181;69;21;medium
156;61;25;high
194;82;22;medium
181;81;25;medium
187;69;20;low
181;73;22;medium
156;70;29;high
167;60;21;medium
169;51;18;low
166;80;29;high
163;62;23;medium
168;55;20;low
169;69;24;medium
190;75;21;medium
167;85;30;high
194;56;15;low
181;55;17;low
193;60;16;low
165;63;23;medium
185;67;20;low
160;69;27;high
156;63;26;high
168;80;29;high
177;60;19;low
177;52;17;low
156;51;21;medium
181;60;18;low
185;73;21;medium
181;53;16;low
183;65;19;low
185;76;22;medium
170;58;20;medium
179;82;26;high
164;83;31;high
172;51;17;low
172;75;25;high
188;65;18;low
177;67;21;medium
180;57;18;low
189;78;22;medium
175;59;19;low
182;57;17;low
184;72;21;medium
161;69;26;high
161;76;29;high
169;80;28;high
189;81;23;medium
186;71;21;medium
180;82;25;high
178;77;24;medium
170;50;17;low
167;53;19;low
184;55;16;low
169;75;26;high
158;78;32;high
176;78;25;high
177;61;19;low
185;82;24;medium
160;52;20;medium
191;83;23;medium
166;50;18;low
186;71;20;medium
179;53;16;low
191;55;15;low
193;64;17;low
188;65;18;low
160;59;23;medium
176;78;25;high
173;75;25;high
179;73;23;medium
174;67;22;medium
177;62;20;low
178;66;21;medium
175;50;16;low
188;85;24;medium
170;60;21;medium
168;62;22;medium
176;74;24;medium
181;61;19;low
185;66;19;low
167;53;19;low
177;54;17;low
157;57;23;medium
165;81;30;high
173;69;23;medium
182;57;17;low
170;54;19;low
159;81;32;high
185;78;23;medium
170;79;27;high
169;63;22;medium
162;63;24;medium
157;51;20;medium
161;57;22;medium
187;62;18;low
181;51;16;low
181;78;24;medium
177;79;25;high
193;53;14;low
171;74;25;high
165;70;25;high
190;51;14;low
184;54;16;low
176;76;24;medium
193;62;17;low
179;76;24;medium
189;71;20;low
178;82;26;high
175;57;19;low
190;66;18;low
174;73;24;medium
156;67;28;high
171;80;27;high
187;53;15;low
169;82;28;high
161;54;21;medium
191;52;14;low
161;72;28;high
177;83;26;high
165;83;30;high
192;61;16;low
167;65;23;medium
186;83;24;medium
178;51;16;low
168;54;19;low
181;78;24;medium
170;51;18;low
189;76;21;medium
191;55;15;low
176;76;25;medium
180;59;18;low
160;79;31;high
160;67;26;high
156;78;32;high
162;66;25;high
185;59;17;low
162;51;19;low
191;69;19;low
179;85;26;high
163;79;30;high
190;78;22;medium
183;57;17;low
170;69;24;medium
182;76;23;medium
187;58;17;low
163;81;30;high
165;52;19;low
159;51;20;medium
177;54;17;low
185;78;23;medium
182;84;25;high
185;78;23;medium
164;82;31;high
161;84;32;high
157;51;21;medium
189;54;15;low
180;78;24;medium
183;56;17;low
191;58;16;low
174;84;28;high
174;63;21;medium
161;69;27;high
171;61;21;medium
193;80;22;medium
183;66;20;low
193;60;16;low
181;72;22;medium
185;55;16;low
156;76;31;high
168;59;21;medium
181;61;19;low
181;65;20;low
185;52;15;low
172;53;18;low
174;79;26;high
176;75;24;medium
156;69;29;high
169;59;21;medium
167;57;20;medium
156;65;27;high
158;63;25;high
178;63;20;medium
160;56;22;medium
193;66;18;low
178;84;27;high
175;56;18;low
184;65;19;low
177;79;25;high
194;61;16;low
170;50;17;low
192;59;16;low
183;56;17;low
155;64;27;high
162;82;31;high
195;81;21;medium
193;71;19;low
177;59;19;low
184;54;16;low
191;56;15;low
174;71;23;medium
192;78;21;medium
185;66;19;low
187;74;21;medium
181;80;24;medium
188;80;23;medium
177;64;20;medium
188;67;19;low
189;76;21;medium
155;83;34;high
179;66;21;medium
183;68;20;medium
186;63;18;low
189;81;23;medium
162;68;26;high
186;77;22;medium
189;57;16;low
191;59;16;low
167;52;19;low
158;51;20;medium
167;75;27;high
170;65;23;medium
185;64;19;low
184;76;23;medium
178;68;21;medium
180;80;25;medium
160;82;32;high
188;84;24;medium
162;54;21;medium
178;56;18;low
190;68;19;low
186;55;16;low
192;82;22;medium
184;69;20;medium
165;73;27;high
162;63;24;medium
168;83;29;high
179;75;23;medium
176;62;20;medium
180;66;20;medium
192;83;22;medium
194;68;18;low
