Input;Classification
1;smaller
2;smaller
3;smaller
4;smaller
5;smaller
6;smaller
7;smaller
8;smaller
9;smaller
10;smaller
11;smaller
12;smaller
13;smaller
14;smaller
15;smaller
16;smaller
17;smaller
18;smaller
19;smaller
20;equal
21;greater
22;greater
23;greater
24;greater
25;greater
26;greater
27;greater
28;greater
29;greater
30;greater
31;greater
32;greater
33;greater
34;greater
35;greater
36;greater
37;greater
38;greater
39;greater
40;greater
41;greater
42;greater
43;greater
44;greater
45;greater
46;greater
47;greater
48;greater
49;greater
50;greater
51;greater
52;greater
53;greater
54;greater
55;greater
56;greater
57;greater
58;greater
59;greater
60;greater
61;greater
62;greater
63;greater
64;greater
65;greater
66;greater
67;greater
68;greater
69;greater
70;greater
71;greater
72;greater
73;greater
74;greater
75;greater
76;greater
77;greater
78;greater
79;greater
80;greater
81;greater
82;greater
83;greater
84;greater
85;greater
86;greater
87;greater
88;greater
89;greater
90;greater
91;greater
92;greater
93;greater
94;greater
95;greater
96;greater
97;greater
98;greater
99;greater
100;greater
101;greater
102;greater
103;greater
104;greater
105;greater
106;greater
107;greater
108;greater
109;greater
110;greater
111;greater
112;greater
113;greater
114;greater
115;greater
116;greater
117;greater
118;greater
119;greater
120;greater
121;greater
122;greater
123;greater
124;greater
125;greater
126;greater
127;greater
128;greater
129;greater
130;greater
131;greater
132;greater
133;greater
134;greater
135;greater
136;greater
137;greater
138;greater
139;greater
140;greater
141;greater
142;greater
143;greater
144;greater
145;greater
146;greater
147;greater
148;greater
149;greater
150;greater
151;greater
152;greater
153;greater
154;greater
155;greater
156;greater
157;greater
158;greater
159;greater
160;greater
161;greater
162;greater
163;greater
164;greater
165;greater
166;greater
167;greater
168;greater
169;greater
170;greater
171;greater
172;greater
173;greater
